Learning Rate,Num Neurons,Embedding Size,Num Heads,KL Weight,ROC-AUC,Precision,Recall,F1 Score
0.001,32,8,2,0.5,0.8259586473143027,0.6513888888888889,0.8252199413489736,0.7280724450194049
0.001,32,8,2,1.0,0.7874327183637106,0.5941868205014422,0.7853372434017595,0.6765188834154351
0.001,32,8,2,1.5,0.779641040870114,0.5812021857923497,0.7797653958944282,0.6659987476518472
0.001,32,8,2,2.0,0.7676008760533055,0.5611679454390451,0.7721407624633431,0.6499629721056529
0.001,32,8,4,0.5,0.8031088756078547,0.6153673331835543,0.8032258064516129,0.6968579061188144
0.001,32,8,4,1.0,0.8044248116114183,0.6220903696942036,0.7994134897360704,0.6996919917864476
0.001,32,8,4,1.5,0.7940977764579233,0.6000883782589483,0.7964809384164223,0.6844758064516129
0.001,32,8,4,2.0,0.7821801106202904,0.5837885077561722,0.7835777126099707,0.6690872668085639
0.001,32,8,8,0.5,0.8232525335016148,0.6476432532347505,0.8219941348973607,0.7244766089428794
0.001,32,8,8,1.0,0.7885816103047627,0.5995953237410072,0.7821114369501466,0.6787986765080173
0.001,32,8,8,1.5,0.7969616541074279,0.6026913743657621,0.8011730205278592,0.6879012967392673
0.001,32,8,8,2.0,0.7883143398047441,0.5920474516695958,0.7903225806451613,0.6769655865360462
0.001,32,8,16,0.5,0.8686532536471288,0.7151427885769138,0.873900293255132,0.7865909990761515
0.001,32,8,16,1.0,0.775578158060804,0.5775635407537248,0.7730205278592376,0.6611487333834963
0.001,32,8,16,1.5,0.7907309105757452,0.5975609756097561,0.7903225806451613,0.6805555555555556
0.001,32,8,16,2.0,0.798654367274212,0.6097287603676306,0.7976539589442815,0.6911447084233261
0.001,32,16,2,0.5,0.9404784884368388,0.8572952787409976,0.9425219941348973,0.8978907668668809
0.001,32,16,2,1.0,0.8840844129329226,0.7494407158836689,0.8841642228739003,0.8112471411274048
0.001,32,16,2,1.5,0.9567170273581054,0.8980716253443526,0.9560117302052786,0.9261363636363636
0.001,32,16,2,2.0,0.8746297189947659,0.7264356675551248,0.8791788856304985,0.7955419928353457
0.001,32,16,4,0.5,0.9400126211069453,0.8565333333333334,0.9419354838709677,0.8972067039106145
0.001,32,16,4,1.0,0.8940866401870893,0.7663152610441767,0.895307917888563,0.825804706518799
0.001,32,16,4,1.5,0.8527506588960244,0.6936829558998808,0.8533724340175953,0.7652859960552268
0.001,32,16,4,2.0,0.8933015330932849,0.764986205166792,0.8944281524926686,0.8246586453967825
0.001,32,16,8,0.5,0.9032740636252273,0.7916881775942178,0.8994134897360704,0.8421197144426139
0.001,32,16,8,1.0,0.9051876461635546,0.7864225781845919,0.9070381231671554,0.8424349720822553
0.001,32,16,8,1.5,0.920652214261851,0.8196293395980162,0.9208211143695014,0.8672835243750863
0.001,32,16,8,2.0,0.868775752626304,0.7222628627164106,0.8686217008797654,0.788709892158168
0.001,32,16,16,0.5,0.9010430973681279,0.7771053958648513,0.9038123167155425,0.8356832971800434
0.001,32,16,16,1.0,0.8795760792902483,0.7463768115942029,0.8759530791788857,0.805990286022666
0.001,32,16,16,1.5,0.8594509818478786,0.7025089605734767,0.8621700879765396,0.7741935483870968
0.001,32,16,16,2.0,0.8440513753294481,0.6809568924680246,0.843108504398827,0.7534067085953878
0.001,32,32,2,0.5,0.9846022495267085,0.9627079747561675,0.9841642228739003,0.9733178654292344
0.001,32,32,2,1.0,0.9877111251345633,0.9700374531835206,0.9873900293255132,0.9786368260427264
0.001,32,32,2,1.5,0.9662570993726567,0.9233146067415731,0.9639296187683285,0.9431850789096127
0.001,32,32,2,2.0,0.9923697984334978,0.9786188962727536,0.9932551319648094,0.9858826953864066
0.001,32,32,4,0.5,0.971708303945952,0.9248538825494016,0.9744868035190616,0.949021847779523
0.001,32,32,4,1.0,0.9733824566613462,0.931111733408009,0.9750733137829912,0.9525855894570978
0.001,32,32,4,1.5,0.9639444671294407,0.9155047406581149,0.9627565982404692,0.9385363064608347
0.001,32,32,4,2.0,0.9839582018634693,0.9623887453344818,0.9829912023460411,0.9725808791527637
0.001,32,32,8,0.5,0.988197408960986,0.9731136166522116,0.9870967741935484,0.9800553210074247
0.001,32,32,8,1.0,0.9893704294888452,0.9731756561869052,0.9894428152492669,0.9812418205612913
